latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
27.38137,-82.558655,8.0,-14400,America/New_York,GMT-4

time,temperature_2m (°F),relative_humidity_2m (%),precipitation (inch),wind_speed_10m (mp/h)
2026-08-14T00:00,85.3,74,0.000,6.4
2026-08-14T01:00,83.8,80,0.000,5.8
2026-08-14T02:00,83.1,86,0.000,5.7
2026-08-14T03:00,82.6,88,0.000,3.6
2026-08-14T04:00,82.1,90,0.000,3.6
2026-08-14T05:00,81.5,93,0.000,3.8
2026-08-14T06:00,80.8,96,0.000,4.5
2026-08-14T07:00,80.1,96,0.000,5.5
2026-08-14T08:00,81.1,90,0.000,5.6
2026-08-14T09:00,83.8,84,0.000,4.4
2026-08-14T10:00,86.3,73,0.000,4.8
2026-08-14T11:00,87.4,70,0.004,4.1
2026-08-14T12:00,86.2,71,0.047,7.2
2026-08-14T13:00,86.2,72,0.102,11.3
2026-08-14T14:00,88.4,65,0.059,6.2
2026-08-14T15:00,87.5,65,0.083,0.9
2026-08-14T16:00,85.3,69,0.028,3.5
2026-08-14T17:00,86.0,70,0.016,2.1
2026-08-14T18:00,86.7,71,0.000,2.8
2026-08-14T19:00,87.1,71,0.000,3.9
2026-08-14T20:00,82.6,86,0.000,7.6
2026-08-14T21:00,81.5,89,0.000,7.1
2026-08-14T22:00,81.0,89,0.000,6.1
2026-08-14T23:00,80.8,91,0.000,5.1
2026-08-15T00:00,80.4,92,0.000,4.7
2026-08-15T01:00,80.0,94,0.000,5.1
2026-08-15T02:00,80.2,92,0.000,6.5
2026-08-15T03:00,80.0,87,0.000,7.3
2026-08-15T04:00,79.7,87,0.000,6.9
2026-08-15T05:00,79.6,87,0.000,8.1
2026-08-15T06:00,79.4,87,0.000,6.6
2026-08-15T07:00,79.0,88,0.000,6.9
2026-08-15T08:00,80.0,89,0.000,5.1
2026-08-15T09:00,81.7,83,0.000,4.5
2026-08-15T10:00,84.2,77,0.000,4.3
2026-08-15T11:00,86.2,69,0.000,2.6
2026-08-15T12:00,87.5,63,0.000,0.4
2026-08-15T13:00,87.9,63,0.000,2.9
2026-08-15T14:00,89.0,61,0.020,6.9
2026-08-15T15:00,87.7,63,0.004,7.6
2026-08-15T16:00,87.1,64,0.020,2.5
2026-08-15T17:00,87.4,64,0.004,1.7
2026-08-15T18:00,87.6,66,0.000,2.8
2026-08-15T19:00,87.5,66,0.000,1.4
2026-08-15T20:00,87.7,68,0.000,4.5
2026-08-15T21:00,86.5,72,0.000,4.4
2026-08-15T22:00,85.0,81,0.000,4.4
2026-08-15T23:00,83.5,89,0.000,4.4
2026-08-16T00:00,82.6,92,0.000,4.1
2026-08-16T01:00,82.0,94,0.000,3.5
2026-08-16T02:00,81.8,97,0.000,3.8
2026-08-16T03:00,80.8,95,0.000,5.3
2026-08-16T04:00,80.6,91,0.000,4.8
2026-08-16T05:00,80.2,90,0.000,4.9
2026-08-16T06:00,79.8,91,0.000,5.5
2026-08-16T07:00,79.4,91,0.000,4.9
2026-08-16T08:00,80.5,88,0.000,4.1
2026-08-16T09:00,82.6,82,0.000,3.8
2026-08-16T10:00,84.9,73,0.000,3.0
2026-08-16T11:00,86.2,69,0.000,2.6
2026-08-16T12:00,86.9,69,0.000,4.7
2026-08-16T13:00,86.2,74,0.000,9.1
2026-08-16T14:00,86.8,74,0.000,9.7
2026-08-16T15:00,87.1,74,0.000,9.1
2026-08-16T16:00,87.5,72,0.000,7.4
2026-08-16T17:00,87.7,71,0.000,6.7
2026-08-16T18:00,87.2,73,0.000,7.3
2026-08-16T19:00,87.0,73,0.000,6.6
2026-08-16T20:00,88.0,71,0.000,6.8
2026-08-16T21:00,88.0,70,0.000,6.5
2026-08-16T22:00,87.8,70,0.000,6.9
2026-08-16T23:00,87.3,70,0.000,6.5
2026-08-17T00:00,87.0,70,0.000,5.3
2026-08-17T01:00,86.2,73,0.000,4.2
2026-08-17T02:00,85.0,80,0.000,4.0
2026-08-17T03:00,84.4,83,0.000,3.4
2026-08-17T04:00,83.6,85,0.000,3.1
2026-08-17T05:00,82.6,89,0.000,3.4
2026-08-17T06:00,81.3,96,0.000,3.6
2026-08-17T07:00,80.3,100,0.000,3.6
2026-08-17T08:00,81.5,99,0.000,2.3
2026-08-17T09:00,84.1,87,0.000,1.6
2026-08-17T10:00,86.8,70,0.000,1.9
2026-08-17T11:00,87.6,70,0.000,5.5
2026-08-17T12:00,87.5,71,0.000,8.3
2026-08-17T13:00,87.4,70,0.000,9.3
2026-08-17T14:00,88.0,67,0.000,10.2
2026-08-17T15:00,87.6,67,0.000,11.0
2026-08-17T16:00,87.6,67,0.000,11.3
2026-08-17T17:00,87.6,67,0.000,10.6
2026-08-17T18:00,87.6,68,0.000,9.9
2026-08-17T19:00,87.3,70,0.000,9.4
2026-08-17T20:00,87.4,68,0.000,7.9
2026-08-17T21:00,87.2,69,0.000,7.9
2026-08-17T22:00,87.0,69,0.000,7.8
2026-08-17T23:00,87.0,69,0.000,8.3
2026-08-18T00:00,86.7,69,0.000,8.3
2026-08-18T01:00,86.2,72,0.000,8.0
2026-08-18T02:00,85.5,76,0.000,8.2
2026-08-18T03:00,85.4,76,0.000,9.3
2026-08-18T04:00,85.3,77,0.000,9.2
2026-08-18T05:00,85.1,77,0.000,8.1
2026-08-18T06:00,84.9,77,0.000,8.1
2026-08-18T07:00,84.8,77,0.000,8.3
2026-08-18T08:00,85.9,76,0.000,8.6
2026-08-18T09:00,86.5,74,0.000,9.7
2026-08-18T10:00,86.9,73,0.000,10.6
2026-08-18T11:00,87.1,73,0.000,11.9
2026-08-18T12:00,87.5,72,0.000,12.4
2026-08-18T13:00,87.7,71,0.000,12.1
2026-08-18T14:00,88.2,70,0.000,12.2
2026-08-18T15:00,88.1,71,0.000,12.2
2026-08-18T16:00,88.0,72,0.000,12.1
2026-08-18T17:00,87.9,72,0.000,11.6
2026-08-18T18:00,87.4,73,0.000,11.1
2026-08-18T19:00,87.1,74,0.000,11.0
2026-08-18T20:00,87.0,75,0.000,10.1
2026-08-18T21:00,86.9,76,0.000,10.2
2026-08-18T22:00,86.9,75,0.000,10.3
2026-08-18T23:00,87.2,73,0.004,10.0
2026-08-19T00:00,87.3,73,0.000,9.3
2026-08-19T01:00,87.6,70,0.012,9.6
2026-08-19T02:00,86.2,78,0.008,11.2
2026-08-19T03:00,85.9,78,0.000,12.0
2026-08-19T04:00,85.6,78,0.000,11.9
2026-08-19T05:00,85.5,78,0.000,11.5
2026-08-19T06:00,85.4,78,0.000,10.9
2026-08-19T07:00,85.5,77,0.000,10.6
2026-08-19T08:00,86.6,77,0.000,8.1
2026-08-19T09:00,85.1,78,0.004,9.7
2026-08-19T10:00,80.1,83,0.106,10.3
2026-08-19T11:00,80.9,83,0.024,8.6
2026-08-19T12:00,81.8,82,0.012,8.0
2026-08-19T13:00,82.6,81,0.000,8.5
2026-08-19T14:00,88.2,69,0.000,6.9
2026-08-19T15:00,85.8,73,0.000,16.5
2026-08-19T16:00,84.7,76,0.000,10.0
2026-08-19T17:00,85.3,75,0.000,6.1
2026-08-19T18:00,85.3,77,0.000,6.6
2026-08-19T19:00,84.7,79,0.000,6.3
2026-08-19T20:00,81.7,85,0.000,2.2
2026-08-19T21:00,83.4,83,0.031,2.3
2026-08-19T22:00,83.5,85,0.008,2.0
2026-08-19T23:00,83.5,85,0.000,0.6
2026-08-20T00:00,80.0,90,0.004,14.0
2026-08-20T01:00,78.7,93,0.035,5.1
2026-08-20T02:00,82.8,80,0.028,8.1
2026-08-20T03:00,81.7,85,0.000,6.2
2026-08-20T04:00,81.7,84,0.000,4.3
2026-08-20T05:00,81.1,86,0.000,2.5
2026-08-20T06:00,80.2,93,0.000,3.6
2026-08-20T07:00,79.9,96,0.000,3.4
2026-08-20T08:00,83.0,91,0.000,2.2
2026-08-20T09:00,82.5,80,0.039,2.7
2026-08-20T10:00,79.5,82,0.063,7.7
2026-08-20T11:00,81.0,80,0.020,1.0
2026-08-20T12:00,82.8,78,0.000,4.6
2026-08-20T13:00,83.5,79,0.000,5.9
2026-08-20T14:00,81.1,80,0.000,14.4
2026-08-20T15:00,79.5,85,0.035,7.0
2026-08-20T16:00,80.8,81,0.004,1.4
2026-08-20T17:00,83.4,75,0.000,1.4
2026-08-20T18:00,84.8,71,0.000,1.6
2026-08-20T19:00,85.3,72,0.000,4.1
2026-08-20T20:00,87.2,67,0.000,3.8
2026-08-20T21:00,85.3,75,0.000,5.8
2026-08-20T22:00,83.6,82,0.000,6.6
2026-08-20T23:00,82.7,85,0.000,4.7
